Flow_ID,Src_IP,Dst_IP,Src_Port,Dst_Port,Protocol,Duration,Total_Fwd_Pkts,Total_Bwd_Pkts,Total_Pkts,F1_PacketRate_RAW,F2_SynRatio_RAW,F3_DistinctPorts_RAW,F4_PayloadLen_RAW,F5_FailRate_RAW,F6_ContextScore_RAW
192.168.234.155-192.168.234.1-49256-80-6,192.168.234.155,192.168.234.1,49256,80,TCP,0.597248,5,4,9,15.0691,0.2000,1.0000,163.0000,0.1111,0.0000
192.168.234.155-192.168.234.1-49266-80-6,192.168.234.155,192.168.234.1,49266,80,TCP,0.596687,5,4,9,15.0833,0.2000,1.0000,163.0000,0.1111,0.0000
192.168.234.155-192.168.234.1-49268-80-6,192.168.234.155,192.168.234.1,49268,80,TCP,0.596490,5,4,9,15.0883,0.2000,1.0000,167.0000,0.1111,0.0000
192.168.234.155-192.168.234.1-49270-80-6,192.168.234.155,192.168.234.1,49270,80,TCP,0.619919,5,4,9,14.5180,0.2000,1.0000,163.0000,0.1111,0.0000
192.168.234.155-192.168.234.1-49184-80-6,192.168.234.155,192.168.234.1,49184,80,TCP,0.599126,5,4,9,15.0219,0.2000,1.0000,167.0000,0.1111,0.0000
192.168.234.155-192.168.234.1-49278-80-6,192.168.234.155,192.168.234.1,49278,80,TCP,0.596016,5,4,9,15.1003,0.2000,1.0000,167.0000,0.1111,0.0000
192.168.234.155-192.168.234.1-49290-80-6,192.168.234.155,192.168.234.1,49290,80,TCP,0.118844,5,3,8,67.3151,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49294-80-6,192.168.234.155,192.168.234.1,49294,80,TCP,0.128115,5,3,8,62.4439,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49310-80-6,192.168.234.155,192.168.234.1,49310,80,TCP,0.127274,5,3,8,62.8565,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49316-80-6,192.168.234.155,192.168.234.1,49316,80,TCP,0.126826,5,3,8,63.0785,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49314-80-6,192.168.234.155,192.168.234.1,49314,80,TCP,0.126351,5,3,8,63.3157,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49320-80-6,192.168.234.155,192.168.234.1,49320,80,TCP,0.126178,5,3,8,63.4025,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49326-80-6,192.168.234.155,192.168.234.1,49326,80,TCP,0.126014,5,3,8,63.4850,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49330-80-6,192.168.234.155,192.168.234.1,49330,80,TCP,0.123751,5,3,8,64.6460,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49344-80-6,192.168.234.155,192.168.234.1,49344,80,TCP,0.122785,5,3,8,65.1545,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49360-80-6,192.168.234.155,192.168.234.1,49360,80,TCP,0.136217,5,3,8,58.7298,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49362-80-6,192.168.234.155,192.168.234.1,49362,80,TCP,0.136175,5,3,8,58.7480,0.2000,1.0000,171.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49366-80-6,192.168.234.155,192.168.234.1,49366,80,TCP,0.136062,5,3,8,58.7968,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49382-80-6,192.168.234.155,192.168.234.1,49382,80,TCP,0.135984,5,3,8,58.8305,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49380-80-6,192.168.234.155,192.168.234.1,49380,80,TCP,0.136018,5,3,8,58.8157,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49396-80-6,192.168.234.155,192.168.234.1,49396,80,TCP,0.132553,5,3,8,60.3532,0.2000,1.0000,167.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49408-80-6,192.168.234.155,192.168.234.1,49408,80,TCP,0.132290,5,3,8,60.4731,0.2000,1.0000,163.0000,0.1250,0.0000
192.168.234.155-192.168.234.1-49410-80-6,192.168.234.155,192.168.234.1,49410,80,TCP,0.112943,5,3,8,70.8321,0.2000,1.0000,167.0000,0.1250,0.0000
